date,volume
2017-12-15,2847
2017-12-16,2755
2017-12-17,5281
2017-12-18,5547
2017-12-19,2270
2017-12-20,1316
2017-12-21,896
2017-12-22,834
2017-12-23,833
2017-12-24,885
2017-12-25,702
2017-12-26,1463
2017-12-27,2093
2017-12-28,2185
2017-12-29,1998
2017-12-30,1946
2017-12-31,2137
2018-01-01,2466
2018-01-02,2733
2018-01-03,3236
2018-01-04,2543
2018-01-05,2151
2018-01-06,2289
2018-01-07,3792
2018-01-08,2607
2018-01-09,2691
2018-01-10,2546
2018-01-11,2529
2018-01-12,2189
2018-01-13,2264
2018-01-14,3219
2018-01-15,2855
2018-01-16,2690
2018-01-17,2768
2018-01-18,2586
2018-01-19,2301
2018-01-20,2569
2018-01-21,5170
2018-01-22,4461
2018-01-23,5793
2018-01-24,6789
2018-01-25,2123
2018-01-26,1525
2018-01-27,1540
2018-01-28,2903
2018-01-29,2684
2018-01-30,3014
2018-01-31,3893
2018-02-01,1531
2018-02-02,1312
2018-02-03,1266
2018-02-04,2030
2018-02-05,1653
2018-02-06,1577
2018-02-07,1854
2018-02-08,1335
2018-02-09,1286
2018-02-10,970
2018-02-11,1847
2018-02-12,1502
2018-02-13,1228
2018-02-14,1285
2018-02-15,1423
2018-02-16,1086
2018-02-17,973
2018-02-18,2280
2018-02-19,1841
2018-02-20,1667
2018-02-21,1937
2018-02-22,2154
2018-02-23,2008
2018-02-24,1663
2018-02-25,3168
2018-02-26,2724
2018-02-27,2445
2018-02-28,2769
2018-03-01,2134
2018-03-02,2345
2018-03-03,2728
2018-03-04,4144
2018-03-05,3762
2018-03-06,3937
2018-03-07,5790
2018-03-08,5521
2018-03-09,1496
2018-03-10,1570
2018-03-11,3437
2018-03-12,3193
2018-03-13,1497
2018-03-14,1284
2018-03-15,1043
2018-03-16,1151
2018-03-17,1265
2018-03-18,2360
2018-03-19,1411
2018-03-20,1401
2018-03-21,1402
2018-03-22,1282
2018-03-23,1338
2018-03-24,1373
2018-03-25,2142
2018-03-26,1973
2018-03-27,1478
2018-03-28,1618
2018-03-29,1221
2018-03-30,1064
2018-03-31,1076
2018-04-01,1447
2018-04-02,2420
2018-04-03,1568
2018-04-04,1755
2018-04-05,1305
2018-04-06,983
2018-04-07,797
2018-04-08,1402
2018-04-09,1519
2018-04-10,1365
2018-04-11,1942
2018-04-12,1819
2018-04-13,1122
2018-04-14,931
2018-04-15,1786
2018-04-16,1568
2018-04-17,1236
2018-04-18,1176
2018-04-19,871
2018-04-20,845
2018-04-21,837
2018-04-22,1564
2018-04-23,1913
2018-04-24,2364
2018-04-25,2749
2018-04-26,1527
2018-04-27,1256
2018-04-28,1877
2018-04-29,3718
2018-04-30,3494
2018-05-01,3503
2018-05-02,3505
2018-05-03,1566
2018-05-04,1332
2018-05-05,1051
2018-05-06,1473
2018-05-07,1640
2018-05-08,1506
2018-05-09,1387
2018-05-10,2506
2018-05-11,1850
2018-05-12,1620
2018-05-13,3896
2018-05-14,3280
2018-05-15,3454
2018-05-16,4273
2018-05-17,1579
2018-05-18,1345
2018-05-19,1272
2018-05-20,1535
2018-05-21,2530
2018-05-22,2493
2018-05-23,3320
2018-05-24,1756
2018-05-25,1212
2018-05-26,1024
2018-05-27,2077
2018-05-28,1463
2018-05-29,1231
2018-05-30,1484
2018-05-31,1730
2018-06-01,1270
2018-06-02,1319
2018-06-03,1975
2018-06-04,2054
2018-06-05,2135
2018-06-06,1590
2018-06-07,1508
2018-06-08,1502
2018-06-09,1377
2018-06-10,2480
2018-06-11,2706
2018-06-12,2983
2018-06-13,2799
2018-06-14,1594
2018-06-15,1128
2018-06-16,1171
2018-06-17,1918
2018-06-18,2303
2018-06-19,1819
2018-06-20,1797
2018-06-21,1990
2018-06-22,1688
2018-06-23,1417
2018-06-24,2638
2018-06-25,2271
2018-06-26,1933
2018-06-27,1865
2018-06-28,1579
2018-06-29,1426
2018-06-30,1124
2018-07-01,1880
2018-07-02,1896
2018-07-03,1729
2018-07-04,1924
2018-07-05,1604
2018-07-06,1635
2018-07-07,1369
2018-07-08,2335
2018-07-09,2690
2018-07-10,2437
2018-07-11,1775
2018-07-12,1401
2018-07-13,1119
2018-07-14,963
2018-07-15,1446
2018-07-16,1626
2018-07-17,1995
2018-07-18,1880
2018-07-19,1574
2018-07-20,1511
2018-07-21,1330
2018-07-22,2149
2018-07-23,2039
2018-07-24,1907
2018-07-25,2163
2018-07-26,2008
2018-07-27,1862
2018-07-28,2334
2018-07-29,4083
2018-07-30,3814
2018-07-31,2650
2018-08-01,2657
2018-08-02,2225
2018-08-03,1377
2018-08-04,1150
2018-08-05,1612
2018-08-06,1634
2018-08-07,1889
2018-08-08,1941
2018-08-09,2275
2018-08-10,1900
2018-08-11,1710
2018-08-12,2588
2018-08-13,2963
2018-08-14,2558
2018-08-15,2565
2018-08-16,2206
2018-08-17,1896
2018-08-18,2020
2018-08-19,3277
2018-08-20,2725
2018-08-21,2821
2018-08-22,2772
2018-08-23,2870
2018-08-24,2292
2018-08-25,2442
2018-08-26,3258
2018-08-27,2826
2018-08-28,2423
2018-08-29,2706
2018-08-30,2248
2018-08-31,2056
2018-09-01,1644
2018-09-02,2618
2018-09-03,2671
2018-09-04,2682
2018-09-05,2634
2018-09-06,2822
2018-09-07,1820
2018-09-08,1877
2018-09-09,3055
2018-09-10,2637
2018-09-11,2203
2018-09-12,2324
2018-09-13,1644
2018-09-14,1694
2018-09-15,1651
2018-09-16,2715
2018-09-17,2128
2018-09-18,1875
2018-09-19,1984
2018-09-20,1891
2018-09-21,2290
2018-09-22,2297
2018-09-23,5231
2018-09-24,3840
2018-09-25,3666
2018-09-26,2244
2018-09-27,1692
2018-09-28,1738
2018-09-29,1412
2018-09-30,2771
2018-10-01,2531
2018-10-02,2745
2018-10-03,2001
2018-10-04,1635
2018-10-05,1214
2018-10-06,1290
2018-10-07,2454
2018-10-08,1940
2018-10-09,1845
2018-10-10,2166
2018-10-11,2288
2018-10-12,1834
2018-10-13,1504
2018-10-14,2913
2018-10-15,2736
2018-10-16,2480
2018-10-17,2630
2018-10-18,2321
2018-10-19,2596
2018-10-20,3014
2018-10-21,5144
2018-10-22,2932
2018-10-23,3293
2018-10-24,3697
2018-10-25,2517
2018-10-26,2311
2018-10-27,2094
2018-10-28,3962
2018-10-29,2828
2018-10-30,2947
2018-10-31,2682
2018-11-01,2254
2018-11-02,2267
2018-11-03,2166
2018-11-04,4182
2018-11-05,3751
2018-11-06,3559
2018-11-07,4218
2018-11-08,2005
2018-11-09,1561
2018-11-10,1705
2018-11-11,2927
2018-11-12,2388
2018-11-13,2514
2018-11-14,2333
2018-11-15,2066
2018-11-16,2066
2018-11-17,2167
2018-11-18,3892
2018-11-19,3230
2018-11-20,2155
2018-11-21,2715
2018-11-22,2747
2018-11-23,4734
2018-11-24,3678
2018-11-25,8801
2018-11-26,4860
2018-11-27,2180
2018-11-28,2142
2018-11-29,2046
2018-11-30,1678
2018-12-01,1605
2018-12-02,3231
2018-12-03,2515
2018-12-04,2113
2018-12-05,2114
2018-12-06,2129
2018-12-07,2588
2018-12-08,2647
2018-12-09,4761
2018-12-10,4078
2018-12-11,2666
2018-12-12,2775
2018-12-13,2636
2018-12-14,2688
2018-12-15,2490
2018-12-16,5421
2018-12-17,5687
2018-12-18,2274
2018-12-19,1421
2018-12-20,960
2018-12-21,1010
2018-12-22,927
2018-12-23,1440
2018-12-24,908
2018-12-25,711
2018-12-26,1372
2018-12-27,2720
2018-12-28,2457
2018-12-29,2407
2018-12-30,3560
2018-12-31,2293
2019-01-01,2922
2019-01-02,3612
2019-01-03,3364
2019-01-04,3219
2019-01-05,3279
2019-01-06,4993
2019-01-07,3833
2019-01-08,4038
2019-01-09,4339
2019-01-10,2360
2019-01-11,3087
2019-01-12,2881
2019-01-13,3980
2019-01-14,2480
2019-01-15,2495
2019-01-16,2864
2019-01-17,2775
2019-01-18,2338
2019-01-19,2624
2019-01-20,4805
2019-01-21,4007
2019-01-22,4645
2019-01-23,6358
2019-01-24,6350
2019-01-25,2111
2019-01-26,2110
2019-01-27,3468
2019-01-28,2709
2019-01-29,2756
2019-01-30,4230
2019-01-31,5114
2019-02-01,1940
2019-02-02,1610
2019-02-03,2226
2019-02-04,1846
2019-02-05,1701
2019-02-06,1965
2019-02-07,1640
2019-02-08,1639
2019-02-09,1665
2019-02-10,3085
2019-02-11,2471
2019-02-12,2411
2019-02-13,2594
2019-02-14,1159
2019-02-15,919
2019-02-16,804
2019-02-17,1250
2019-02-18,1298
2019-02-19,1213
2019-02-20,1310
2019-02-21,1447
2019-02-22,1241
2019-02-23,972
2019-02-24,1537
2019-02-25,1362
2019-02-26,1263
2019-02-27,1311
2019-02-28,1269
2019-03-01,1224
2019-03-02,1244
2019-03-03,2650
2019-03-04,1956
2019-03-05,1676
2019-03-06,1958
2019-03-07,1663
2019-03-08,1228
2019-03-09,1361
2019-03-10,2985
2019-03-11,2221
2019-03-12,2048
2019-03-13,2808
2019-03-14,2494
2019-03-15,2074
2019-03-16,2132
2019-03-17,3495
2019-03-18,2281
2019-03-19,2015
2019-03-20,2074
2019-03-21,2084
2019-03-22,1660
2019-03-23,2200
2019-03-24,3790
2019-03-25,4461
2019-03-26,4720
2019-03-27,5402
2019-03-28,1583
2019-03-29,1179
2019-03-30,789
2019-03-31,1768
2019-04-01,1508
2019-04-02,1726
2019-04-03,1707
2019-04-04,1468
2019-04-05,1180
2019-04-06,1198
2019-04-07,1907
2019-04-08,1844
2019-04-09,1398
2019-04-10,1450
2019-04-11,1331
2019-04-12,1248
2019-04-13,1165
2019-04-14,2079
2019-04-15,1730
2019-04-16,1750
2019-04-17,1381
2019-04-18,1026
2019-04-19,861
2019-04-20,655
2019-04-21,795
2019-04-22,1273
2019-04-23,1993
2019-04-24,1839
2019-04-25,1500
2019-04-26,1329
2019-04-27,1940
2019-04-28,3249
2019-04-29,2680
2019-04-30,2943
2019-05-01,3013
2019-05-02,2339
2019-05-03,2170
2019-05-04,2406
2019-05-05,4305
2019-05-06,2938
2019-05-07,3006
2019-05-08,3276
2019-05-09,2414
2019-05-10,1963
2019-05-11,1916
2019-05-12,3223
2019-05-13,3060
2019-05-14,3649
2019-05-15,4387
2019-05-16,1781
2019-05-17,1449
2019-05-18,1084
2019-05-19,2282
2019-05-20,2683
2019-05-21,2614
2019-05-22,2830
2019-05-23,1614
2019-05-24,1560
2019-05-25,1222
2019-05-26,2136
2019-05-27,2090
2019-05-28,2371
2019-05-29,1602
2019-05-30,2399
2019-05-31,1638
2019-06-01,1201
2019-06-02,1870
2019-06-03,2489
2019-06-04,2110
2019-06-05,2511
2019-06-06,1939
2019-06-07,2038
2019-06-08,2378
2019-06-09,2435
2019-06-10,5040
2019-06-11,3614
2019-06-12,2573
2019-06-13,2288
2019-06-14,1777
2019-06-15,1658
2019-06-16,2429
2019-06-17,1903
2019-06-18,1819
2019-06-19,2682
2019-06-20,2504
2019-06-21,1979
2019-06-22,1622
2019-06-23,3174
2019-06-24,4039
2019-06-25,4049
2019-06-26,2445
2019-06-27,1799
2019-06-28,1392
2019-06-29,1333
2019-06-30,2818
2019-07-01,2734
2019-07-02,1974
2019-07-03,1805
2019-07-04,1569
2019-07-05,1509
2019-07-06,1418
2019-07-07,2323
2019-07-08,2313
2019-07-09,1997
2019-07-10,2016
2019-07-11,1769
2019-07-12,2051
2019-07-13,1706
2019-07-14,3334
2019-07-15,2778
2019-07-16,1687
2019-07-17,1279
2019-07-18,1285
2019-07-19,1398
2019-07-20,1781
2019-07-21,1841
2019-07-22,1713
2019-07-23,1554
2019-07-24,1812
2019-07-25,1826
2019-07-26,1553
2019-07-27,1654
2019-07-28,2721
2019-07-29,2250
2019-07-30,2379
2019-07-31,3577
2019-08-01,1833
2019-08-02,1824
2019-08-03,1597
2019-08-04,2114
2019-08-05,2069
2019-08-06,2347
2019-08-07,2368
2019-08-08,2510
2019-08-09,2382
2019-08-10,2222
2019-08-11,3292
2019-08-12,3406
2019-08-13,3319
2019-08-14,2687
2019-08-15,2585
2019-08-16,2237
2019-08-17,2456
2019-08-18,3886
2019-08-19,2961
2019-08-20,2661
2019-08-21,2378
2019-08-22,2196
2019-08-23,2015
2019-08-24,1751
2019-08-25,2646
2019-08-26,3267
2019-08-27,2996
2019-08-28,3347
2019-08-29,2210
2019-08-30,1948
2019-08-31,1712
2019-09-01,2725
2019-09-02,2027
2019-09-03,2077
2019-09-04,2385
2019-09-05,2084
2019-09-06,1769
2019-09-07,1960
2019-09-08,3596
2019-09-09,2906
2019-09-10,2892
2019-09-11,3006
2019-09-12,1585
2019-09-13,1425
2019-09-14,1192
2019-09-15,2090
2019-09-16,2043
2019-09-17,1892
2019-09-18,1943
2019-09-19,1727
2019-09-20,1793
2019-09-21,1379
2019-09-22,2241
2019-09-23,2914
2019-09-24,3078
2019-09-25,3562
2019-09-26,2121
2019-09-27,1869
2019-09-28,1863
2019-09-29,3737
2019-09-30,2596
2019-10-01,2402
2019-10-02,2102
2019-10-03,1989
2019-10-04,1503
2019-10-05,1290
2019-10-06,3014
2019-10-07,1947
2019-10-08,1876
2019-10-09,2506
2019-10-10,2311
2019-10-11,2148
2019-10-12,2292
2019-10-13,3248
2019-10-14,2529
2019-10-15,2407
2019-10-16,2532
2019-10-17,2318
2019-10-18,2399
2019-10-19,2343
2019-10-20,4224
2019-10-21,4023
2019-10-22,3055
2019-10-23,6925
2019-10-24,2533
2019-10-25,2158
2019-10-26,1863
2019-10-27,4257
2019-10-28,2783
2019-10-29,2901
2019-10-30,3304
2019-10-31,2176
2019-11-01,1983
